path	author	date	source	title	url	wordcount
/var/www/test/plain/2018/1/3521187.txt		2018-01-15	Коммерсант	Премьер Румынии подал в отставку	https://www.kommersant.ru/doc/3521187	146
/var/www/test/plain/2018/1/3521192.txt		2018-01-15	Коммерсант	Умер политик Виктор Анпилов	https://www.kommersant.ru/doc/3521192	303
/var/www/test/plain/2018/1/3521179.txt	Иван Слободенюк, Челябинск; Ирина Нагорных	2018-01-15	Коммерсант	Штаб Владимира Путина признал нарушения при сборе подписей в Кургане	https://www.kommersant.ru/doc/3521179	276
/var/www/test/plain/2018/1/3521144.txt		2018-01-15	Коммерсант	Росгвардия проверит в Перми все ЧОПы, охраняющие школы	https://www.kommersant.ru/doc/3521144	112
/var/www/test/plain/2018/1/3521129.txt		2018-01-15	Коммерсант	FIFA подготовила для Григория Родченкова вопросы о допинге в российском футболе	https://www.kommersant.ru/doc/3521129	136
/var/www/test/plain/2018/1/3521147.txt		2018-01-15	Коммерсант	Россия подтвердила факт сопровождения Ту-160 иностранными истребителями	https://www.kommersant.ru/doc/3521147	53
/var/www/test/plain/2018/1/3521148.txt	Яна Рождественская	2018-01-15	Коммерсант	Стоимость Xiaomi может быть оценена в $100 млрд в ходе IPO	https://www.kommersant.ru/doc/3521148	137
/var/www/test/plain/2018/1/3521128.txt		2018-01-15	Коммерсант	Глава Перми предложил создать механизм контроля за детьми в соцсетях	https://www.kommersant.ru/doc/3521128	152
/var/www/test/plain/2018/1/3521142.txt		2018-01-15	Коммерсант	Представитель Алексея Ананьева отрицает связь его возвращения в РФ с продажей «Возрождения»	https://www.kommersant.ru/doc/3521142	166
/var/www/test/plain/2018/1/3521126.txt	Яна Рождественская	2018-01-15	Коммерсант	Airbus обошла Boeing по заказам в 2017 году	https://www.kommersant.ru/doc/3521126	198
/var/www/test/plain/2018/1/3521095.txt		2018-01-15	Коммерсант	Украина сняла санкции с российского поставщика угля «Южтранс»	https://www.kommersant.ru/doc/3521095	109
