info,url,more,time
Аўстрыец праз суд дамогся права вярнуць сабе прозвішча Зебра,/be/news/20161109/1478674111-austryec-praz-sud-damogsya-prava-vyarnuc-sabe-prozvishcha-zebra,"Прозвішча належала гэтай сям'і на працягу некалькіх стагоддзяў, таму з пункту гледжання закона прозвішча можна вярнуць, вырашыў Канстытуцыйны суд.",09.11.2016
Беларусь зацікаўлена ў развіцці ўсебаковых кантактаў з Камбоджай,/be/news/20161109/1478673330-belarus-zacikaulena-u-razvicci-usebakovyh-kantaktau-z-kambodzhay,Прэзідэнт Беларусі Аляксандр Лукашэнка павіншаваў Караля Камбоджы Нарадома Сіхамані і народ гэтай краіны з нацыянальным святам - Днём Незалежнасці.,09.11.2016
Пяць амерыканскіх штатаў галасуюць за легалізацыю марыхуаны,/be/news/20161109/1478673902-pyac-amerykanskih-shtatau-galasuyuc-za-legalizacyyu-maryhuany,"За ці супраць легалізацыі марыхуаны галасуюць Каліфорнія, Масачусэтс, Мэн, Арызона і Невада.",09.11.2016
Тэлефонная сувязь у двух раёнах Мінска адноўлена пасля пажару на АТС,/be/news/20161109/1478676457-telefonnaya-suvyaz-u-dvuh-rayonah-minska-adnoulena-paslya-pazharu-na-ats,"Аб гэтым паведамілі ў прэс-службе РУП ""Белтэлекам"".",09.11.2016
Начальнікам Інстытута нацыянальнай бяспекі назначаны Алег Сталярчук,/be/news/20161109/1478672692-nachalnikam-instytuta-nacyyanalnay-byaspeki-naznachany-aleg-stalyarchuk,Паведамілі ў прэс-службе беларускага лідара.,09.11.2016
Вынікі выбараў у ЗША абвалілі долар і фінансавыя рынкі,/be/news/20161109/1478671984-vyniki-vybarau-u-zsha-abvaliu-dolar-i-finansavyya-rynki,Долар больш чым на 3% патаннеў да японскай ены і больш чым на 2% да швейцарскага франка.,09.11.2016
Мінадукацыі і Microsoft падпісалі мемарандум аб супрацоўніцтве,/be/news/20161109/1478671706-minadukacyi-i-microsoft-padpisali-memarandum-ab-supracounictve,Подпісы пад дакументам паставілі міністр адукацыі Міхаіл Жураўкоў і кіраўнік прадстаўніцтва Microsoft у Беларусі Антон Мякішаў.,09.11.2016
Мокры снег і дажджы чакаюцца 9 лістапада ў Беларусі,/be/news/20161108/1478614995-mokry-sneg-i-dazhdzhy-chakayucca-9-listapada-u-belarusi,Будзе воблачна з праясненнямі.,09.11.2016
"Страхавыя ўзносы ў Беларусі ў студзені-верасні выраслі на 24,2%",/be/news/20161108/1478616278-strahavyya-uznosy-u-belarusi-u-studzeni-verasni-vyrasli-na-242,Аб гэтым паведамілі ў Міністэрстве фінансаў.,08.11.2016
Два індыйскія акцёры патанулі на здымках фільма,/be/news/20161108/1478616711-dva-indyyskiya-akcyory-patanuli-na-zdymkah-filma,"Два індыйскія акцёры і каскадзёры, вядомыя пад творчымі псеўданімамі Удай і Аніл, якія зніклі ў панядзелак пры здымках эпізоду, у якім яны",08.11.2016
Беларусь плануе экспартаваць у 2016 годзе амаль 300 тыс. т бульбы,/be/news/20161108/1478615829-belarus-planue-ekspartavac-u-2016-godze-amal-300-tys-t-bulby,Пра гэта паведаміў журналістам намеснік міністра сельскай гаспадаркі і харчавання Уладзімір Гракун.,08.11.2016
"Помнік Жаглову і Шарапаву адкрылі ў Маскве на Пятроўцы, 38",/be/news/20161108/1478616004-pomnik-zhaglovu-i-sharapavu-adkryli-u-maskve-na-pyatroucy-38,Пра гэта паведамілі ў прэс-службе ГУ МУС Расіі па Маскве.,08.11.2016
У Беларусі аб'яўлены конкурс на вытворчасць фільмаў для дзяцей,/be/news/20161108/1478615488-u-belarusi-abyauleny-konkurs-na-vytvorchasc-filmau-dlya-dzyacey,Пра гэта паведамілі ў Міністэрстве культуры.,08.11.2016
Дарога з пластыка з'явіцца ў Нідэрландах у 2017 годзе,/be/news/20161108/1478615452-daroga-z-plastyka-zyavicca-u-niderlandah-u-2017-godze,"Магчыма, неўзабаве на змену звыклым нам асфальтаваным дарогам прыйдуць пластыкавыя.",08.11.2016
П'яны гродзенец дошкай разбіў пяць аўтамабіляў,/be/news/20161108/1478595499-pyany-grodzenec-doshkay-razbiu-pyac-autamabilyau,Пра гэта паведамілі ў прэс-службе УУС Гродзенскага аблвыканкама.,08.11.2016
У Аўстраліі расследуюць справу аб ілжывых камандах пілотам лайнераў,/be/news/20161108/1478599265-u-australii-rassleduyuc-spravu-ab-ilzhyvyh-kamandah-pilotam-laynerau,"Паліцыя Аўстраліі расследуе справу аб 15 падробных радыёпаведамленнях, якія атрымалі экіпажы авіялайнераў недалёка ад Мельбурна.",08.11.2016
У Беларусі будуць укараняць перадавыя методыкі кіравання якасцю,/be/news/20161108/1478614756-u-belarusi-buduc-ukaranyac-peradavyya-metodyki-kiravannya-yakascyu,Аб гэтым паведаміла дырэктар Беларускага дзяржаўнага інстытута стандартызацыі і сертыфікацыі Ірына Асмола.,08.11.2016
Даследаванне: белыя скалы Дуўра імкліва разбураюцца,/be/news/20161108/1478598983-dasledavanne-belyya-skaly-duura-imkliva-razburayucca,"Навукоўцы высветлілі, што хуткасць эрозіі скал ў Паўднёвым Сасэксе за апошнія 150 гадоў павялічылася з 22 да 32 сантыметраў у год.",08.11.2016
Галоўную ёлку Беларусі ўпрыгожаць цацкамі з нацыянальным арнаментам,/be/news/20161108/1478613705-galounuyu-yolku-belarusi-uprygozhac-cackami-z-nacyyanalnym-arnamentam,"Пра гэта паведаміла першы намеснік дырэктара дзяржаўнага прадпрыемства ""Мінскрэклама"" Таццяна Каліціна.",08.11.2016
У Маскве праз дзірку ў плоце выкралі 13 тон чырвонай ікры,/be/news/20161108/1478597599-u-maskve-praz-dzirku-u-ploce-vykrali-13-ton-chyrvonay-ikry,"У Маскве невядомыя выкралі 13 тон чырвонай ікры, праламаўшы бетонны плот і прапілаваўшы праходы ў сценках кантэйнераў.",08.11.2016
Мінск стаў самым папулярным горадам для падарожжаў расіян з дзецьмі,/be/news/20161108/1478613427-minsk-stau-samym-papulyarnym-goradam-dlya-padarozhzhau-rasiyan-z-dzecmi,Такія даныя прадаставіў інтэрнэт-сэрвіс пошуку атэляў RoomGuru.ru.,08.11.2016
Выдалены мексіканскі футбаліст забіў суддзю ўдарам галавы,/be/news/20161108/1478596088-vydaleny-meksikanski-futbalist-zabiu-suddzyu-udaram-galavy,Пра гэта паведамляе Daily Mail.,08.11.2016
Больш за 20 эталонаў плануецца распрацаваць у Беларусі да 2020 года,/be/news/20161108/1478605279-bolsh-za-20-etalonau-planuecca-raspracavac-u-belarusi-da-2020-goda,Аб гэтым паведаміў намеснік дырэктара Беларускага дзяржаўнага інстытута метралогіі Мікалай Бакавец.,08.11.2016
Башкірскія дзеці ўзброіліся сякерамі для паходаў у школу,/be/news/20161108/1478594318-bashkirskiya-dzeci-uzbroilisya-syakerami-dlya-pahodau-u-shkolu,"На думку іх бацькоў, гэта дапаможа школьнікам абараніцца ад мядзведзяў.",08.11.2016
Камароўскі рынак 9 лістапада аб'яўляе скідкі да 25 працэнтаў,/be/news/20161108/1478600904-kamarouka-9-listapada-abyaulyae-skidki-da-25-pracentau,Пра гэта паведамілі ў галоўным упраўленні спажывецкага рынку Мінгарвыканкама.,08.11.2016
У офісах Samsung у Паўднёвай Карэі прайшлі ператрусы,/be/news/20161108/1478588150-u-ofisah-samsung-u-paudnyovay-karei-prayshli-peratrusy,"Следства правярае інфармацыю пра тое, што Samsung мог незаконна аказваць фінансавую дапамогу дачцэ Чхве сяброўкі прэзідэнта Сіль Сун.",08.11.2016
Аляксандр Лукашэнка павіншаваў Прэзідэнта Нікарагуа Даніэля Артэга,/be/news/20161108/1478596058-alyaksandr-lukashenka-pavinshavau-prezidenta-nikaragua-danielya-artega,Аб гэтым паведамілі ў прэс-службе беларускага лідара.,08.11.2016
Рахункі дзяржбанкаў штата Рыа-дэ-Жанейра замарожаны з-за даўгоў,/be/news/20161108/1478587112-rahunki-dzyarzhbankau-shtata-rya-de-zhaneyra-zamarozhany-z-za-daugou,"Як паведаміла крыніца ў міністэрстве фінансаў краіны, улады разлічваюць вырашыць даўгавыя праблемы на працягу бліжэйшых трох дзён, і тады рахункі будуць размарожаныя.",08.11.2016
У працу прыгараднага транспарту Мінска ў лістападзе ўносяцца змены,/be/news/20161108/1478593912-u-pracu-prygaradnaga-transpartu-minska-u-listapadze-unosyacca-zmeny,"Пра гэта паведамілі ў дзяржаўнай установе ""Сталічны транспарт і сувязь"".",08.11.2016
Убачыць работы лепшых беларускіх кандытараў можна 8-11 лістапада,/be/news/20161025/1477389667-ubachyc-raboty-lepshyh-belaruskih-kandytarau-mozhna-budze-8-11-listapada,"У рамках 22-й спецыялізаванай харчовай выставы-кірмашу ""Прадэкспа"" адбудзецца Міжнародны хлебны салон.",08.11.2016
Прэзідэнт Філіпін адмяніў кантракт з ЗША на куплю вінтовак,/be/news/20161108/1478586924-prezident-filipin-admyaniu-kantrakt-z-zsha-na-kuplyu-vintovak,"Паводле яго слоў, улады маюць намер знайсці больш танныя варыянты зброі, якая не саступала б па якасці амерыканскім узорам.",08.11.2016
Жыхар Кобрына задушыў былую жонку і схаваў цела ў лесе,/be/news/20161108/1478590150-zhyhar-kobryna-zadushyu-byluyu-zhonku-i-shavau-cela-u-lese,"Праваахоўнікі Брэсцкай вобласці усталёўваюць абставіны смерці 26-гадовай жыхаркі Кобрына, паведамілі ў МУС Беларусі.",08.11.2016
Вайскоўцы выявілі побач з Масулам магілу з абезгалоўленымі целамі,/be/news/20161108/1478585634-vayskoucy-vyyavili-pobach-z-masulam-magilu-z-abezgaloulenymi-celami,Пра гэта паведамляе армія Ірака.,08.11.2016
Турыстаў пачнуць вадзіць па Косаўскім замку ў 2017 годзе,/be/news/20161108/1478585163-turystau-pachnuc-vadzic-pa-kosauskim-zamku-u-2017-godze,"Пра гэта паведаміў намеснік начальніка ўпраўлення культуры галоўнага ўпраўлення ідэалагічнай работы, культуры і па справах моладзі Брэсцкага аблвыканкама Вячаслаў Гарбузаў.",08.11.2016
Прагноз надвор'я на 8 лістапада,/be/news/20161107/1478503591-pragnoz-nadvorya-na-8-listapada,"Тэмпература паветра днём складзе 1-7 градусаў са знакам плюс, па поўначы днём будзе не вышэй за нуль - мінус 2 градусы.",08.11.2016
"Курды і іх саюзнікі абвясцілі аб наступе на ""сталіцу"" ІД - Раку",/be/news/20161106/1478446385-kurdy-i-ih-sayuzniki-abvyascili-ab-nastupe-na-stalicu-id-raku,"Як было сказана, наступ будзе падтрыманы авіяцыяй краін-удзельніц кааліцыі на чале з ЗША.",07.11.2016
Дональда Трампа адхілілі ад яго ўласнага мікраблогу ў Twitter,/be/news/20161107/1478508555-donalda-trampa-adhilili-yago-ad-ulasnaga-mikrablogu-u-twitter,Пра гэта паведамляе The Hill.,07.11.2016
Беларуска стала першай віцэ-міс на конкурсе Super Model Universe 2016,/be/news/20161107/1478504769-belaruska-stala-pershay-vice-mis-na-konkurse-super-model-universe-2016,"Беларуска Лізавета Шыкута стала першай віцэ-міс на конкурсе Super Model Universe 2016, які праходзіў у сталіцы Балгарыі з 1 па 5 лістапада.",07.11.2016
Жыхары Мюнхена адгародзяцца ад мігрантаў сцяной,/be/news/20161106/1478448644-zhyhary-myunhena-adgarodzyacca-ad-migrantau-scyanoy,Пра гэта паведамляе Die Welt.,07.11.2016
Бразілія адменіць візы для беларусаў з 25 лістапада,/be/news/20161107/1478505395-braziliya-admenic-vizy-dlya-belarusau-z-25-listapada,"Беларусы, якія жадаюць паехаць у паўднёваамерыканскую краіну, могуць знаходзіцца там без віз не больш за 90 дзён на працягу года да двух разоў на год.",07.11.2016
"Помнік Леніну адкрыўся ў скверы ""70 гадоў МТЗ""",/be/news/20161107/1478533996-pomnik-leninu-adkryusya-u-skvery-70-gadou-mtz,Раней манумент знаходзіўся на тэрыторыі Мінскага трактарнага завода.,07.11.2016
Пажылым людзям у Брытаніі раяць зімой есці больш гарачай ежы,/be/news/20161107/1478506451-pazhylym-lyudzyam-u-brytanii-rayac-zimoy-esci-bolsh-garachay-ezhy,"Для таго каб справіцца з негатыўнымі эфектамі халоднага часу года, пажылым людзям трэба часцей ужываць гарачую ежу і падтрымліваць актыўны лад жыцця.",07.11.2016
Крызісныя пакоі плануецца адкрыць у Брэсцкім і Бярозаўскім раёнах,/be/news/20161106/1478453856-kryzisnyya-pakoi-planuecca-adkryc-u-bresckim-i-byarozauskim-rayonah,"Пра гэта паведамілі ў камітэце па працы, занятасцi i сацыяльнай абароне Брэсцкага аблвыканкама.",07.11.2016
Пасажырскі самалёт экстранна сеў у Італіі з-за бойкі на борце,/be/news/20161107/1478507963-pasazhyrski-samalyot-ekstranna-seu-u-italii-z-za-boyki-na-borce,Лайнер авіякампаніі Ryanair здзейсніў экстраную пасадку ў Італіі з-за масавай бойкі на борце.,07.11.2016
9 чалавек сёлета загінулі на вытворчасці ў нецвярозым стане,/be/news/20161106/1478453383-9-chalavek-syoleta-zaginuli-na-vytvorchasci-u-necvyarozym-stane,Пра гэта паведамілі ў Міністэрстве працы і сацыяльнай абароны.,07.11.2016
Гомель і кітайскі Чэнду ўсталююць пабрацімскія сувязі,/be/news/20161107/1478517009-gomel-i-kitayski-chendu-ustalyuyuc-pabracimskiya-suvyazi,Паведамілі ў прэс-службе аблвыканкама.,07.11.2016
У Дэлі з-за смогу зачыняюць школы,/be/news/20161106/1478448468-u-deli-z-za-smogu-zachynyayuc-shkoly,Забруджванне паветра ў 70 разоў перавышае нормы СААЗ.,07.11.2016
Конкурс турыстычных сэлфі стартаваў у Беларусі,/be/news/20161106/1478452526-konkurs-turystychnyh-selfi-startavau-u-belarusi,Аматары падарожжаў і фатаграфіі могуць сумясціць гэтыя прыемныя заняткі.,07.11.2016
У Кітаі знайшлі новы від раслін,/be/news/20161107/1478509328-u-kitai-znayshli-novy-vid-raslin,"Пра гэта паведаміла кіраўніцтва нацыянальнага прыроднага запаведніка Сяочжайцзыгоу, размешчанага ў павеце Бэйчуань правінцыі Сычуань (Паўднёва-Заходні Кітай).",07.11.2016
"МЗС Украіны аб інцыдэнце з Белавія: спадзяемся, пытанне будзе вырашана",/be/news/20161107/1478507304-mzs-ukrainy-ab-incydence-z-belaviya-spadzyaemsya-pytanne-budze-vyrashana,"МЗС Украіны разлічвае на канструктыўнае вырашэнне пытання па інцыдэнце з вяртаннем борта ""Белавія"".",07.11.2016
Славацкі хакеіст памёр ва ўзросце 34 гадоў,/be/news/20161106/1478448114-slavacki-hakeist-pamyor-va-uzrosce-34-gadou,Абставіны смерці хакеіста высвятляюцца.,07.11.2016
"Палачане адправяцца 7 лістапада ""У пагоню за здароўем""",/be/news/20161106/1478452078-palachane-adpravyacca-7-listapada-u-pagonyu-za-zdarouem,Пра гэта паведамілі ў прэс-службе райвыканкама.,07.11.2016
Два выбухі смяротнікаў у двух гарадах Ірака: 21 загінулы,/be/news/20161106/1478447159-dva-vybuhi-smyarotnikau-u-dvuh-garadah-iraka-21-zaginuly,Два смяротнікі зладзілі выбухі ў іракскіх гарадах Тыкрыт і Самара.,07.11.2016
Прагноз надвор'я на 7 лістапада,/be/news/20161106/1478421638-pragnoz-nadvorya-na-7-listapada,Будзе воблачна. На большай частцы тэрыторыі краіны чакаюцца ападкі.,07.11.2016
У Брэсце да 2019 года з'явіцца новая транспартная развязка,/be/news/20161106/1478424114-u-bresce-da-2019-goda-zyavicca-novaya-transpartnaya-razvyazka,"Яна вырашыць адразу некалькі праблем: пераразмяркуе аўтамабільныя патокі, ліквідуе чэргі на чыгуначных пераездах і пусціць грузавікі ў абыход абласнога цэнтра.",06.11.2016
Завяршыўся візіт Аляксандра Лукашэнкі ў Блізкаўсходні рэгіён,/be/news/20161106/1478451485-zavyarshyusya-vizit-alyaksandra-lukashenki-u-blizkaushodni-regiyon,Самалёт кіраўніка дзяржавы вылецеў з міжнароднага аэрапорта Абу-Дабі і ўзяў курс на Нацыянальны аэрапорт Мінск.,06.11.2016
Тысячы пратэстуючых патрабуюць адстаўкі прэзідэнта Паўднёвай Карэі,/be/news/20161106/1478397077-tysyachy-pratestuyuchyh-patrabuyuc-adstauki-prezidenta-paudnyovay-karei,Паліцыя паведамляе аб 40 тысячах удзельнікаў акцыі.,06.11.2016
"У Беларусі мужчын менш, чым жанчын, хоць хлопчыкаў нараджаецца больш",/be/news/20161106/1478395083-u-belarusi-muzhchyn-mensh-chym-zhanchyn-hoc-hlopchykau-naradzhaecca-bolsh,Пра гэта паведамілі ў Нацыянальным статыстычным камітэце.,06.11.2016
Брытанец Эндзі Марэй стаў першай ракеткай свету,/be/news/20161106/1478396168-brytanec-endzi-marey-stau-pershay-raketkay-svetu,"Каб атрымаць званне першай ракеткі, Марэю было дастаткова дайсці да фіналу турніру.",06.11.2016
Беларусы змогуць наведваць Бразілію без візы з 25 лістапада,/be/news/20161106/1478394824-belarusy-zmoguc-navedvac-braziliyu-bez-vizy-z-25-listapada,Такая інфармацыя размешчана на старонцы пасольства Бразіліі ў Беларусі ў Facebook.,06.11.2016
"У Мінску адбылося ДТЗ з удзелам хуткай, 3 чалавекі пацярпелі",/be/news/20161106/1478444528-u-minsku-adbylosya-dtz-z-udzelam-hutkay-3-chalaveki-pacyarpeli,Пра гэта паведамілі ва УДАІ ГУУС Мінгарвыканкама.,06.11.2016
"Сі Цзіньпін павіншаваў ""Сіньхуа"" з 85-годдзем",/be/news/20161106/1478433603-si-czinpin-pavinashavau-sinhua-z-85-goddzem,"Кітайскі лідар выказаў надзею, што Сіньхуа будзе актыўна працаваць над тым, каб ператварыцца ў адно з вядучых сусветных інфармагенцтваў новага фармату.",06.11.2016
7523 службовыя асобы аштрафаваныя за парушэнні заканадаўства аб працы,/be/news/20161106/1478395293-7523-sluzhbovyya-asoby-ashtrafavanyya-za-parushenni-zakanadaustva-ab-pracy,У Беларусі ў студзені-верасні бягучага года за парушэнні заканадаўства аб працы і аб ахове працы прыцягнуты да адміністрацыйнай адказнасці,06.11.2016
"Італьянскі святар назваў землятрусы “Божай карай"" за гей-шлюбы",/be/news/20161106/1478396943-italyanski-svyatar-nazvau-zemlyatrusy-bozhay-karay-za-gey-shlyuby,"Айцец Кавальколі выказаў такое меркаванне ў інтэрв'ю радыёстанцыі ""Марыя"".",06.11.2016
Маршрутка з 12 пасажырамі перакулілася ў Мінскім раёне,/be/news/20161106/1478423705-marshrutka-z-12-pasazhyrami-perakulilasya-u-minskim-rayone,Аварыя адбылася каля 8.20 на 10-м кіламетры аўтадарогі Р-1 Мінск-Дзяржынск.,06.11.2016
Пяць чалавек загінулі пры выбуху газу ў расійскім Іванава,/be/news/20161106/1478420064-pyac-chalavek-zaginuli-pry-vybuhu-gazu-u-rasiyskim-ivanava,З суседніх пад'ездаў эвакуіраваны 13 чалавек.,06.11.2016
На беларуска-літоўскай мяжы захоўваецца чарга з фур,/be/news/20161106/1478417977-na-belaruska-litouskay-myazhy-zahouvaecca-charga-z-fur,Пра гэта сведчаць звесткі Дзяржаўнага пагранічнага камітэта.,06.11.2016
"Філіпінскі мэр, які здаўся ўладам, застрэлены ў турме",/be/news/20161106/1478395971-filipinski-mer-yaki-zdausya-uladam-zastreleny-u-turme,"Як заявілі ў паліцыі, Эспіноса і яго сукамэрнік самі пачалі перастрэлку з аховай.",06.11.2016
Працяглыя ападкі чакаюцца ў Беларусі 6 лістапада,/be/news/20161106/1478394131-pracyaglyya-apadki-chakayucca-u-belarusi-6-listapada,Будзе воблачна.,06.11.2016
Названая самая квітнеючая краіна ў свеце,/be/news/20161104/1478270250-nazvanaya-samaya-kvitneyuchaya-kraina-u-svece,У 2016 годзе самай квітнеючай краінай свету стала Новая Зеландыя.,05.11.2016
Змяненні ў руху транспарту 7 лістапада ў сталіцы,/be/news/20161104/1478268623-zmyanenni-u-ruhu-transpartu-7-listapada-u-stalicy,У сувязі са змяненнем рэжыму працы буйных гандлёвых прадпрыемстваў Мінска 7 лістапада ў рух гарадскога пасажырскага транспарту ўносяцца змяненні.,05.11.2016
Землятрусы ў Італіі прывялі да зменаў рэльефу на плошчы 600 кв.км,/be/news/20161104/1478262349-zemlyatrusy-u-italii-pryvyali-da-zmenau-relefu-na-ploshchy-600-kvkm,Пра гэта паведамілі спецыялісты Нацыянальнага інстытута геафізікі і вулканалогіі.,05.11.2016
"Беларусь у студзені-верасні павялічыла экспарт паслуг на 0,8 %",/be/news/20161104/1478268936-belarus-u-studzeni-verasni-pavyalichyla-ekspart-paslug-na-08,"Аб гэтым сведчаць статыстычныя даныя, апублікаваныя на сайце Нацыянальнага банка.",05.11.2016
Памёр былы сакратар Цэнтрвыбаркама Беларусі Мікалай Лазавік,/be/news/20161105/1478358209-pamyor-byly-sakratar-centrvybarkama-belarusi-mikalay-lazavik,Прычынай смерці стала цяжкая хвароба.,05.11.2016
Новы авіярэйс звяжа Швейцарыю і Германію,/be/news/20161104/1478271531-novy-aviyareys-zvyazha-shveycaryyu-i-germaniyu,Палёт будзе праходзіць над Бодэнскім возерам і прадоўжыцца ўсяго 8 хвілін.,05.11.2016
Дарога з пластыку з'явіцца ў Нідэрландах у 2017 годзе,/be/news/20161104/1478274454-daroga-z-plastyku-zyavicca-u-niderlandah-u-2017-godze,Да канца 2017 года ў Нідэрландах можа з'явіцца першая пластыкавая дарога.,05.11.2016
БЧ дадала на 7 лістапада яшчэ адзін цягнік у Вільнюс,/be/news/20161104/1478269023-bch-dadala-na-7-listapada-yashche-adzin-cyagnik-u-vilnyus,Аб гэтым паведамілі ў прэс-службе БЧ.,05.11.2016
Lenovo спыніць вытворчасць смартфонаў,/be/news/20161104/1478271737-lenovo-spynic-vytvorchasc-smartfonau,Кітайская кампанія Lenovo можа спыніць выпуск смартфонаў пад уласным брэндам.,05.11.2016
Андрэй Кабякоў і Марыс Кучынскіс абмеркавалі супрацоўніцтва,/be/news/20161105/1478345216-andrey-kabyakou-i-marys-kuchynskis-abmerkavali-supracounictva,Сустрэча прэм'ер-міністра Беларусі Андрэя Кабякова з прэм'ер-міністрам Латвіі Марысам Кучынскісам прайшла сёння ў Рызе.,05.11.2016
Дзяцей будуць пускаць у Мінскі заапарк бясплатна,/be/news/20161104/1478268528-dzyacey-buduc-puskac-u-minski-zaapark-byasplatna,"Акцыя ""Правядзем канікулы разам!"" будзе дзейнічаць 5, 6 і 7 лістапада.",05.11.2016
Раскрытая таямніца папулярнасці англійскай вёскі ў турыстаў,/be/news/20161104/1478271067-raskrytaya-tayamnica-papulyarnasci-angliyskay-vyoski-u-turystau,Брытанцы змаглі раскрыць загадку папулярнасці англійскай вёскі Кідлінгтан у кітайскіх турыстаў.,05.11.2016
"Створаны аргкамітэт па падрыхтоўцы конкурсу ""Міс Беларусь""",/be/news/20161104/1478269475-stvorany-argkamitet-pa-padryhtoucy-konkursu-mis-belarus,Аб гэтым паведамілі ў прэс-службе беларускага ўрада.,05.11.2016
Беларусь плануе пашырыць прысутнасць на аграпрамысловым рынку Кітая,/be/news/20161105/1478337243-belarus-planue-pashyryc-prysutnasc-na-agrapramyslovym-rynku-kitaya,"Беларусь плануе пашырыць прысутнасць на аграпрамысловым рынку Кітая. Умовы ўзаемадзеяння дзвюх краін па шэрагу перспектыўных напрамкаў, у тым ліку ў аграпрамысловым комплексе.",05.11.2016
Андрэй Кабякоў запрасіў прэм'ера Дзяржсавета Кітая наведаць Беларусь,/be/news/20161105/1478337713-andrey-kabyakou-zaprasiu-premera-dzyarzhsaveta-kitaya-navedac-belarus, Адпаведнае прапанова была агучана сёння на сустрэчы кіраўніка беларускага ўрада з прэм'ерам Дзяржсавета Кітая ў Рызе.,05.11.2016
Налета Кітай запусціць першы спадарожнік электроннай камерцыі,/be/news/20161105/1478334342-naleta-kitay-zapuscic-pershy-spadarozhnik-elektronnay-kamercyi,Асноўнай мэтай стане выкарыстання спадарожнікавых дадзеных у сельскай гаспадарцы.,05.11.2016
"Першачарговую інфраструктуру парку ""Вялікі камень"" завершаць у 2017 г.",/be/news/20161105/1478336779-pershachargovuyu-infrastrukturu-parku-vyaliki-kamen-zavershac-u-2017-g,"Будаўніцтва першачарговай інфраструктуры Кітайска-беларускага індустрыяльнага парку ""Вялікі камень"" завершыцца ў 2017 годзе.",05.11.2016
Новыя траса і найменне аўтобуснага маршрута №150,/be/news/20161104/1478268398-novyya-trasa-i-naymenne-autobusnaga-marshruta-no150,"З 5 лістапада змяняецца траса аўтобуснага маршрута №150 “ДС “Паўднёвы Захад” — Азярцо”, паведамілі ў дзяржаўным прадпрыемстве “Мінсктранс”.",05.11.2016
ЗША перакінуць у Еўропу каля шасці тысяч вайскоўцаў,/be/news/20161104/1478271380-zsha-perakinuc-u-europu-kalya-shasci-tysyach-vayskoucau,"Ужо гэтай зімой у падтрымку аперацыі НАТА ""Атлантычная рашучасць"" у Германіі, Польшчы і краінах Балтыі яны плануюць размясціць дадатковы воінскі кантынгент.",05.11.2016
Да мінус 10 і галалёдзіца чакаюцца 5 лістапада ў Беларусі,/be/news/20161104/1478255621-da-minus-10-i-galalyodzica-chakayucca-5-listapada-u-belarusi,Будзе воблачна з праясненнямі.,05.11.2016
"NASA паказала здымак участка на Марсе, дзе разбіўся Schiaparelli",/be/news/20161104/1478267788-nasa-pakazala-zdymak-uchastka-na-marse-dze-razbiusya-schiaparelli,Фотаздымкі былі зробленыя 1 лістапада апаратам NASA Mars Reconnaissance Orbiter (MRO).,04.11.2016
Дачка Дар'і Домрачавай будзе насіць прозвішча бацькі,/be/news/20161104/1478260684-dachka-dari-domrachavay-budze-nasic-prozvishcha-backi,Дачка трохразовай алімпійскай чэмпіёнкі беларускай біятланісткі Дар'і Домрачавай будзе насіць прозвішча бацькі. Пра гэта распавяла мама спартсменкі Ларыса Мініна.,04.11.2016
Xiaomi ўстанавіла рэкорд па хуткасці продажаў смартфонаў,/be/news/20161104/1478262517-xiaomi-ustanavila-rekord-pa-hutkasci-prodazhau-smartfonau,Пра гэта піша Android Headlines,04.11.2016
Гіганцкі валёнак са Смілавіч можа трапіць у Кнігу рэкордаў Гінеса,/be/news/20161104/1478259064-gigancki-valyonak-sa-smilavich-mozha-trapic-u-knigu-rekordau-ginesa,Незвычайны абутак вырабілі на Смілавіцкай валюшна-лямцавай фабрыцы спецыяльна для абласных «Дажынак».,04.11.2016
Сірыйскі Алепа абстралялі ў час гуманітарнай паўзы,/be/news/20161104/1478275160-siryyski-alepa-abstralyali-u-chas-gumanitarnay-pauzy,"Сірыйскі Алепа абстралялі ў час гуманітарнай паўзы, паведамілі ў Міністэрстве абароны Расіі.",04.11.2016
"Заяўкі на беларускі адбор ""Еўрабачання-2017"" прымаюцца да 22 лістапада",/be/news/20161104/1478258838-zayauki-na-belaruski-adbor-eurabachannya-2017-prymayucca-da-22-listapada,Пра гэта паведамілі ў прэс-службе Белтэлерадыёкампаніі.,04.11.2016
Расіянін спрабаваў вывезці з Беларусі алмазы як жвір для акварыума,/be/news/20161104/1478261102-rasiyanin-sprabavau-vyvezci-z-belarusi-almazy-yak-zhvir-dlya-akvaryuma,Пра гэта паведамляецца на сайце Гродзенскай рэгіянальнай мытні Беларусі.,04.11.2016
Беларускія хакеісты закінулі тры шайбы ў вароты французаў,/be/news/20161104/1478257504-belaruskiya-hakeisty-zakinuli-try-shayby-u-varoty-francuzau,"Нацыянальная зборная атрымала ўпэўненую перамогу ў першым туры Еўрачэленджа, закінуўшы тры шайбы ў вароты сапернікаў з Францыі - 3:0 (0:0, 2:0, 1:0).",04.11.2016
У Чэхіі сутыкнуліся пяць бронетранспарцёраў і легкавы аўтамабіль,/be/news/20161104/1478260741-u-chehii-sutyknulisya-pyac-bronetransparcyorau-i-legkavy-autamabil,Пра гэта паведаміў прэс-сакратар генштаба нацыянальных узброеных сіл Ян Шульц.,04.11.2016
