info,url,more,time
"""Камароўка"" 11 студзеня прапануе пакупнікам зніжкі 20 працэнтаў",/be/news/20170110/1484054679-kamarouka-11-studzenya-prapanue-pakupnikam-znizhki-20-pracentau,Пра гэта паведамілі ў галоўным упраўленні спажывецкага рынку Мінгарвыканкама.,10.01.2017
Школьніц-мусульманак у Швейцарыі абавязалі плаваць з хлопчыкамі,/be/news/20170110/1484063038-shkolnic-musulmanak-u-shveycaryi-abavyazali-plavac-z-hlopchykami,"Разгледзеўшы скаргу, суд палічыў, што ўлады краіны маюць поўнае права патрабаваць няўхільнага выканання школьнай праграмы дзеля паспяховай інтэграцыі дзяцей у швейцарскае грамадства.",10.01.2017
Лукашэнка накіраваў спачуванне ў сувязі са смерцю Алі Рафсанджані,/be/news/20170110/1484065612-lukashenka-nakiravau-spachuvanne-u-suvyazi-sa-smercyu-ali-rafsandzhani,Аб гэтым паведамілі ў прэс-службе беларускага лідара.,10.01.2017
Сімфанічны аркестр прадставіць 14 студзеня святочную праграму,/be/news/20170110/1484054484-simfanichny-arkestr-pradstavic-14-studzenya-svyatochnuyu-pragramu,"Святочную праграму ""Новы новы год у філармоніі"" прадставіць Дзяржаўны акадэмічны сімфанічны аркестр Рэспублікі Беларусь",10.01.2017
Прэзідэнт: У інтэграцыйных працэсах краіны павінны быць адзінай сям'ёй,/be/news/20170110/1484064929-lukashenka-u-integracyynyh-pracesah-krainy-pavinny-byc-adzinay-syamyoy,"Аб гэтым Прэзідэнт Беларусі Аляксандр Лукашэнка заявіў сёння на цырымоніі ўручэння прэмій ""За духоўнае адраджэнне"", спецпрэмій дзеячам культуры і мастацтва і ""Беларускі спартыўны Алімп"".",10.01.2017
Аляксандр Лукашэнка: Наша агульная задача - зберагчы краіну,/be/news/20170110/1484064842-alyaksandr-lukashenka-nasha-agulnaya-zadacha-zberagchy-krainu,"Аб гэтым Прэзідэнт Беларусі заявіў сёння на цырымоніі ўручэння прэмій ""За духоўнае адраджэнне"".",10.01.2017
Аснова нацыянальнага характару беларусаў у чалавечнасці і спачуванні,/be/news/20170110/1484064783-prezident-asnova-nacyyanalnaga-haraktaru-belarusau-u-chalavechnasci,"Аб гэтым Прэзідэнт Беларусі Аляксандр Лукашэнка заявіў сёння на цырымоніі ўручэння прэмій ""За духоўнае адраджэнне"", спецпрэмій дзеячам культуры і мастацтва і ""Беларускі спартыўны Алімп"".",10.01.2017
У сталіцы Афганістана прагрымелі два выбухі: загінулі 25 чалавек,/be/news/20170110/1484062839-u-stalicy-afganistana-pragrymeli-dva-vybuhi-zaginuli-25-chalavek,Мэтай тэрарыстаў былі супрацоўнікі парламента Афганістана.,10.01.2017
Распрацоўваецца план па агульнай міграцыйнай прасторы Беларусі і Расіі,/be/news/20170110/1484062700-raspracouvaecca-plan-pa-agulnay-migracyynay-prastory-belarusi-i-rasii,У цяперашні час распрацоўваецца план мерапрыемстваў па фарміраванні агульнай міграцыйнай прасторы Беларусі і Расіі на чарговы часовы перыяд,10.01.2017
У Барысаве са школы эвакуіравалі 340 чалавек,/be/news/20170110/1484062731-u-barysave-sa-shkoly-evakuiravali-340-chalavek,З-за ілжывага паведамлення пра мініраванне.,10.01.2017
